"","O14625","O43508","P01133","P01579","P02778","P05112","P05231","P09603","P10145","P10147","P13232","P13236","P13500","P14210","P15692","P22301","P35225","P39900","P48061","P50591","P51671","P80075","P80098","Q07325","Q14116","Q99616","Q99731"
"17",11.17246,8.87038,9.99899,3.4594316186373,8.03876,1.89685307289671,3.36796,8.03765,7.88393,5.77254,3.73671,7.26419,10.86716,7.11011,8.3785,3.35656,0.889747455,5.50668,1.17249,7.66303,9.11674,7.73682,3.36224,6.95663,8.92963,11.12268,10.09815
"18",11.1805388879059,8.14741355358382,9.49549130999372,2.99476072854958,7.7961564477913,1.32423456227053,4.26265865507222,7.73279830775591,7.2252556464986,6.06626144226872,4.36981542428391,7.14017536209078,10.0223331324424,7.02720935493346,8.28108618022458,3.07929276727285,1.39341620047154,4.90400231628369,1.6585542606509,7.18158959681944,8.87944540592197,8.09614586934576,2.80240004011484,6.42470378683119,8.20070247343485,10.2120123658501,9.72303800249987
"19",9.90956761585064,9.59141388324235,9.20806849375435,4.32178381816932,7.91943543256537,1.27798474729977,2.85817997382465,7.5746767755348,5.72666776044971,6.31153944395529,4.34660237529899,7.28911515108772,10.787554083608,7.5267417871332,8.23614816730811,3.63063844605544,1.38791392438595,5.598305647661,1.87105507508663,8.16640916107345,9.10398013588634,7.1890437112465,3.00396196615242,7.19619390963286,8.87374861515226,10.8372565687865,9.37001166630778
"20",10.4384,8.85011,8.66343,4.21885864664023,7.18416,0.913798964950696,2.67175,7.73569,4.97702,5.36385,3.39323,7.31207,10.76542,6.60729,7.52539,4.34676,1.29795,4.93213,1.19828,7.42229,9.17883,7.63825,2.87959,6.91443,9.27548,10.67945,9.00289
"21",9.47875,9.00422,9.28228,4.78805922364955,6.86485,1.65168318063211,2.21544,7.71481,5.70083,5.22709,4.55338,7.04865,10.17976,6.91173,7.9568,3.17308,0.955312803444705,5.11631,0.93432777831537,7.8302,8.95975,7.85357,2.58453,6.3049,8.73583,10.01321,9.06877
"22",10.1328903932492,8.93079350697307,9.5134887716717,3.40394936423286,7.60152567653739,2.30742852519225,2.41792000781196,8.12634827160072,6.31553000309028,5.92692453481865,4.22881869049588,7.025549329159,10.8587821834965,6.99653562991257,8.06701480222245,2.9086207917474,0.600269753509005,4.79472776669526,1.68392098080932,7.63399783060365,8.84127813896403,7.48341273352902,2.73357127092638,5.92015035768987,8.87157570510841,11.1050612328797,9.12062150803134
"23",10.5782207710656,9.00661220453801,9.8883490410208,3.89297381527333,8.12570792070994,1.1036654827657,2.74286855102444,7.81583796932227,6.67810008247499,5.28806320032532,3.56632808613291,7.46763815299236,10.5869898654654,7.28925350857643,8.00140819439281,3.90525461399739,1.74243744537627,6.05859790625141,1.64247053731582,7.61818725573192,9.07160179846155,8.18015780909854,3.27381424458704,6.86159563776561,8.36271534344683,11.3907740731745,9.46084288395198
"24",10.7324371106395,9.06685609122825,9.79051629906423,3.79815422743359,8.29053038291016,1.64846544302731,3.1630156061833,7.88669645786054,6.7574233468218,5.31157577152755,3.9086207917474,7.53170115750621,10.7917961675699,7.22432974145201,7.88669645786054,3.99186193055632,1.10232219119669,5.77119892042008,1.37962096205571,7.3844902175781,9.33960730691741,8.30291304406975,3.95354462352481,6.66621690028703,8.93626396753643,11.7782804563358,10.0747382242735
"25",9.42830363637722,8.73985485181828,9.72880145441632,4.40463068421761,6.71302214331858,1.72421368675736,3.1815796587472,7.4310378743783,5.45358342413191,3.98895729629791,4.64789009105921,7.08222356979992,10.3706786895903,6.37033867703977,7.73966586455201,3.37545653587666,1.76298656488058,4.67400860861722,1.65901117119815,8.13827692064243,9.02576524055625,8.40747597324622,2.21505728090457,5.50998080622379,8.42564812244422,9.87562956974391,8.82261225506121
"26",10.76186,9.00696,9.64757,3.35445216057956,8.45705,0.621055503299739,3.81686,7.98762,7.01523,6.72337,3.89587,8.145,10.66256,7.41741,8.06208,3.54412,1.01720929003222,5.39918,0.781569544815974,7.47762,8.62489,8.97156,4.07244,6.5654,8.44038,11.47662,12.18686
"27",10.235679198938,8.76787325148607,10.1232911355493,4.47948927097855,7.57673374992097,1.57628025762136,3.46244501354301,7.35387019759334,5.91912552162054,3.4276061727819,4.64114137036725,7.12063187501268,10.3213993855404,7.07386306801921,8.00124491429996,3.65191274464578,1.68212378961972,5.37823415521924,0.867105729502655,7.65393419971205,9.33037016337333,7.86822992516176,2.51424852992186,6.68558980116994,8.73995608481389,11.1022066936951,9.30966960973596
"29",10.1504847881176,8.75755668893945,9.63886666701766,4.14469902515414,7.67283546167475,0.91226662806645,2.29631056070809,6.9063374564844,6.4206845026955,5.01466772403576,4.24115374886229,6.81818590116784,10.4949605584817,7.38566398947422,8.10456730482834,3.81700921407127,1.03421571533791,5.64241277290506,3.1479578813871,7.80514410218497,9.55900800403065,7.4390412883696,3.22774107583913,7.11080169855253,8.45018437209107,11.4326228017853,9.01019798956573
"31",10.66017,9.11228,9.84381,3.69354271275202,7.57017,0.863938450423971,2.57307,7.67584,6.87546,5.16751,4.33103,7.33669,10.13134,7.52707,8.45031,3.74266,0.892973815273334,5.12582,1.94035471153329,7.33007,8.59856,7.33995,2.70047,6.65797,8.71181,10.38685,9.21796
"32",9.31959987149894,8.97158953553006,9.70163049039961,4.77584069853125,6.74923926268725,1.71764900817332,2.24944534108584,7.10488176134365,5.55253077657875,4.03940163540771,4.70675155361712,7.17278751240059,10.1315843400675,7.02210144474,8.29709509914723,3.53331415656679,1.26423615104355,5.11328376412012,1.56169272139831,8.16941395644577,9.09659657194062,7.61957440968023,2.27291899476564,6.43747744525603,8.25139246128369,9.6580168486339,8.71357553942587
"33",10.55499,9.1998,8.64629,3.93083193741479,8.56236,1.49569516262407,3.59107,8.10763,6.22052,10.81316,3.7055,7.88456,11.03781,7.37799,8.30256,3.62356,1.00216242115062,5.37838,1.37629038333705,8.30569,9.01349,7.49515,3.26198,7.26045,9.4766,9.85733,9.26178
"35",10.1161684876562,9.02808010443059,9.67556367737297,4.53959310553091,8.23257921919463,1.47404659931931,2.73443866613717,7.73610422847427,6.87881115525425,5.86510224371821,3.83501452602152,7.92130540448011,10.8868938011723,7.52861038612345,8.20221199944052,3.57507024745155,1.43082049651977,6.50716034911752,1.25821738953602,7.53284680618394,9.43647003184467,8.06950347308393,3.52381283772722,7.31113978027586,9.21776871787491,12.3296536870783,9.99120436154845
"36",9.72234,8.99527,8.29772,3.70719345423804,7.5613,0.17829,2.41953,7.76654,5.76979,5.14287,4.35249,7.32514,11.14616,7.31293,8.09585,3.90471,1.01364091066939,5.60211,2.78910321750138,7.96772,9.12521,7.68084,3.41589,6.43147,8.54961,11.26742,9.42556
"38",10.3811070486806,9.29680840210923,9.24993829144169,3.48349335128439,7.22041702478002,0.829443681366591,2.86552295913996,7.86607959979267,5.35191096110308,4.87006875178241,4.51178427413408,7.21121666465831,10.7849104361433,6.78114985171021,7.98691715502009,3.48091134604775,0.807354922057604,4.97961382663014,0.951587794814754,7.93596648793996,8.61308221405921,7.38365245818813,2.6085727159038,6.27958272504665,8.07804937510043,10.2788547962568,9.78101211330219
"42",10.2353489154459,9.31334109699567,9.32376185673161,4.12316954315582,8.03579434000759,1.03984026453179,2.83187724119167,7.75535496648057,6.17745940465888,6.44355692537598,4.19975085671584,7.61285375703652,10.530716497822,7.51907007068062,8.04663293045388,4.10601323762212,1.30684550031428,5.64998901698193,1.71457523885163,7.69812122085066,9.18589874796624,7.42846067626003,3.10668332357977,6.60808475693382,8.82906941096323,10.8049328334914,9.5146193834152
"43",9.9005709949905,9.0522555688869,10.1158980865794,3.9338558621027,7.80276190933778,1.54843662469604,2.78993786898019,7.99611753767891,6.53549312547653,4.88445139746563,3.86710572950265,7.55608448855835,10.5875965822129,7.46604790299331,8.14244407235259,3.20382759794212,1.1263121303287,5.09579786225111,1.391767719956,7.5141143679443,9.03860079332122,7.72629991541229,3.4479758500933,6.71681260358321,9.05747193410897,11.3437386980857,9.72830829684773
"44",8.6698,9.2767,10.44046,4.15218341905505,6.72382,1.21971063954878,2.71629,7.74306,5.48562,5.04337,4.26983,7.50311,10.36729,7.05191,7.80142,3.65934,1.26783539209762,4.48753,1.32077347694587,7.80214,8.33119,7.48874,3.04355,5.2406,8.88313,9.92534,8.79613
"47",10.41257,9.08502,9.04206,4.13134253912326,7.21401,0.618238655595455,2.47256,7.89131,5.14955,4.79135,3.66416,6.84986,10.15953,6.5587,8.05337,3.58021,0.604071323668861,5.27062,0.813935070481317,7.458,8.32874,7.53249,2.26508,6.60693,8.18951,9.34257,9.2989
"48",10.46661,9.2966,10.26894,4.29770500089178,7.59179,0.75702324650746,4.12661,7.51394,6.27835,5.41983,4.89554,7.34984,10.36538,7.14048,8.12693,3.6096,1.66266125547509,6.32257,1.21824,7.71289,8.66969,7.36017,3.38445,7.48812,8.82369,11.15118,10.32166
"50",10.5995437550749,9.03397904779927,9.38850169115349,3.54744982914397,8.66276093287184,1.80405355896735,2.87617311443746,8.20314241346594,6.36299581197405,5.86108690599539,3.32567423412026,7.1965775384135,10.3736123261981,6.7806381856072,7.96727237822001,3.34879895961211,2.23450132056221,5.25130250633865,0.950095094173686,7.26846246566941,8.8785966112475,7.59160462365657,2.59000311742169,6.66625951485942,9.11871271442921,11.4632709598191,9.59928803483023
"52",10.14858,9.02572,9.24646,4.33392458255539,7.62752,1.37128005402265,2.92936,7.70339,5.20228,4.74798,3.40704,7.15159,10.54489,6.92645,7.6685,3.62643,1.22712493444993,4.37405,1.00934717225925,8.05844,9.51724,7.31409,3.18821,6.76299,8.95452,11.20845,9.55597
"53",9.21016235398628,8.86295344515126,9.194020547418,3.53630161932382,8.07588021376551,1.98986562286629,2.78993786898019,7.89470258557694,6.17098659461451,7.21220939834589,1.8015725694636,7.1476933739006,11.0737499548118,7.05470741237117,7.88168297098925,3.5854433189362,0.842375488206288,5.52866507849998,1.47508488294878,7.57683198779991,8.85575616207481,7.43632010856707,3.51626734437183,6.84740818691281,9.5476136993572,11.6379796823236,10.0251063328354
