subject_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P60568	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
108	260.85952	243.92992		123.58887	5.33428	7.05195	20.84304	0.2096		202.44007	339.96332			4.51624	169.36238	95.47927	5.35216	7.89013	0.7594	90.81951	207.43104	1.81174	112.7415	217.2232	12.48499		185.39223	12.26175	263.06106	89.49245	328.12153	127.66389		384.47582	27.52602	1.60524	30.37183	234.55739	0.17988	6.48395			139.21748	135.60594	10.20298
109	361.84519	502.22824		235.7986	4.37414	14.90364	16.43597	0.13272	0.20104	51.14299	654.33035			1.35074	113.99981	109.39483	6.09684	5.69263	1.1497	54.82438	254.50107	0.62761	114.00943	191.60931	4.01465		229.35483	8.90507	101.68433	75.35212	274.70951	277.59615		402.2294	38.53606	1.83186	48.06772	240.45802	1.26898	7.9082			686.72085	52.48934	16.30916
110	318.35006	422.60292		77.54767	5.18662	9.0137	13.08735	0.10574		61.60419	1010.55037			1.46786	141.39368	81.30332	7.84362	2.87922	0.6111	54.84105	551.29684	0.76497	104.54061	186.75344	6.88847		229.83129	10.81071	174.50072	145.51781	385.81233	414.54237		136.90079	72.77799	2.60449	69.72458	151.89793	0.55054	2.36952		1.22499	848.166	69.0654	17.70953
111	390.70899	356.5382		111.96424	13.38676	10.46716	13.06723	0.15984		80.42075	1088.54046			2.40577	154.67925	72.38532	12.20121	7.53755	0.99182	63.79657	212.19772	7.05892	229.51692	302.52303	3.60729		146.64178	10.28425	173.20262	102.76232	330.2034	220.36711		49.44246	42.16713	2.67173	38.53219	168.90035	0.15897	13.38959		1.52169	545.37203	116.48701	10.47034
112	432.08657	468.05326		196.95434	4.2682	8.51849	12.3773	0.139		76.40176	520.04486			0.36228	114.77069	70.53811	8.60727	4.1188	1.16767	68.79918	312.6166	1.37534	111.34097	250.65895	3.68015		227.98888	10.56894	142.96911	74.43112	417.17133	435.14607		235.00858	31.69297	1.45239	35.35367	234.9713	0.21892	5.73725		0.41162	386.91179	56.54516	13.5598
114					1.08376																								122.80435					95.04874	48.24474					5.59577					
115	238.33634	312.34359		223.26359	3.74942	7.05396	17.91125	0.16726		132.19521	427.96635			1.69897	145.92351	89.48762	4.93008	8.5685	0.81596	69.52644	231.74625	0.31024	104.02858	177.6218	5.69117		346.18032	12.56331	105.16992	82.76277	418.8246	148.36633		92.66801	27.52683	6.51925	32.22645	247.64045	0.27124	2.48643		0.51194	181.43039	125.91227	10.96231
116	401.78289	392.9247		308.19672	5.70311	7.75643	11.64521	0.07242	0.3823	75.46933	682.01099			1.84805	106.30885	108.86367	4.98763	4.82094	1.01948	54.26124	280.31468	0.4212	81.70383	214.67686	7.87966		274.8142	7.05882	208.4547	62.65535	376.91221	247.02682		166.39009	33.93761	2.09941	45.34332	304.51684	0.74418	11.54613		2.46888	327.59828	275.40803	22.136
117	851.19221	341.37264		256.48578	5.01599	7.18547	16.59767	0.11304		103.1578	538.52029			1.5078	109.75741	96.33819	4.63615	5.13447	0.86956	55.50218	294.87445	0.42307	74.23376	178.43982	7.09313	0.64016	328.30537	7.59142	164.43832	56.35339	366.63674	256.94063		95.73054	21.65006	2.10555	42.59187	258.72007	0.92049	6.30473		1.57458	391.71488	288.21245	27.03507
118	1834.73161	415.38038		126.77885	5.38364	11.81744	18.98293	8.19462		271.14277	1151.48198	0.24266		4.19414	152.86405	98.57053	6.08815	7.60286	0.61156	166.23255	725.57651	1.11382	101.96399	217.93927	9.91386		296.67445	22.26563	197.03161	130.64862	481.02864	420.37663		92.25812	28.40086	3.18153	187.34539	167.17956	0.74823	5.19007		1.56374	868.65589	108.5062	12.25647
